Dataset type,Judge model,Train dataset,Test dataset,Type,Accuracy,Precision,Recall,F1,AUROC,ECE,Recovery,Validity
syn,llama-3.1-8b,pond,pond,NTP,0.754978354978355,0.6513353115727003,0.5701298701298702,0.6080332409972299,0.8095394459436667,0.04948967289989649,0.5701298701298702,0.6513353115727003
syn,llama-3.1-8b,pond,pond,Probe,0.8244588744588744,0.7647058823529411,0.6837662337662338,0.7219746314706891,0.8974696407488616,0.04785980912530117,0.6837662337662338,0.7647058823529411
syn,llama-3.1-8b,pond,nfix,NTP,0.682256867112101,0.5813953488372093,0.16703786191536749,0.25951557093425603,0.655935486431119,0.13597492887341547,0.16703786191536749,0.5813953488372093
syn,llama-3.1-8b,pond,nfix,Probe,0.6666666666666666,0.5,0.29398663697104677,0.3702664796633941,0.6500277776399919,0.07921927603123574,0.29398663697104677,0.5
syn,llama-3.1-8b,nfix,pond,NTP,0.7365800865800866,0.5907813378302417,0.6824675324675324,0.6333232901476348,0.8095394459436667,0.11813451322011748,0.6824675324675324,0.5907813378302417
syn,llama-3.1-8b,nfix,pond,Probe,0.7367965367965368,0.6208955223880597,0.5402597402597402,0.5777777777777777,0.7801619160060719,0.05527715465094447,0.5402597402597402,0.6208955223880597
syn,llama-3.1-8b,nfix,nfix,NTP,0.6844840386043058,0.5555555555555556,0.267260579064588,0.3609022556390978,0.655935486431119,0.07811996295584996,0.267260579064588,0.5555555555555556
syn,llama-3.1-8b,nfix,nfix,Probe,0.6926503340757239,0.6223776223776224,0.19821826280623608,0.30067567567567566,0.6822225584198491,0.0862096235061238,0.19821826280623608,0.6223776223776224
syn,qwen-2.5-7b,pond,pond,NTP,0.7984848484848485,0.7711487088156723,0.5623376623376624,0.6503942921517086,0.87404273486254,0.04688341200872154,0.5623376623376624,0.7711487088156723
syn,qwen-2.5-7b,pond,pond,Probe,0.8727272727272727,0.8474452554744526,0.7538961038961038,0.7979381443298968,0.9116044020914151,0.06251525213465595,0.7538961038961038,0.8474452554744526
syn,qwen-2.5-7b,pond,nfix,NTP,0.674090571640683,0.625,0.0556792873051225,0.10224948875255624,0.6453576619163595,0.11290636901390139,0.0556792873051225,0.625
syn,qwen-2.5-7b,pond,nfix,Probe,0.7052709725315516,0.6192660550458715,0.30066815144766146,0.4047976011994003,0.7029516222637785,0.07771312137147006,0.30066815144766146,0.6192660550458715
syn,qwen-2.5-7b,nfix,pond,NTP,0.8093073593073593,0.7498104624715694,0.6422077922077922,0.6918502973067506,0.87404273486254,0.14049367011267755,0.6422077922077922,0.7498104624715694
syn,qwen-2.5-7b,nfix,pond,Probe,0.8244588744588744,0.7464503042596349,0.7168831168831169,0.7313680026498841,0.8957493885984147,0.05063191174644526,0.7168831168831169,0.7464503042596349
syn,qwen-2.5-7b,nfix,nfix,NTP,0.6755753526354863,0.5652173913043478,0.11581291759465479,0.19223659889094266,0.6453576619163595,0.02794399225020862,0.11581291759465479,0.5652173913043478
syn,qwen-2.5-7b,nfix,nfix,Probe,0.6985894580549369,0.5754385964912281,0.36525612472160357,0.446866485013624,0.717418316377399,0.07652537102886636,0.36525612472160357,0.5754385964912281
real,llama-3.1-8b,pond,pond,NTP,0.76558013849012,0.7051903114186852,0.5143866733972741,0.5948628137769993,0.819972479673651,0.030994355507370102,0.21948051948051947,0.7051903114186852
real,llama-3.1-8b,pond,pond,Probe,0.5173112649890221,0.4012609772573745,0.8995456839979808,0.5549672999065712,0.7059243011656421,0.33404315432991244,0.33246753246753247,0.4012609772573745
real,llama-3.1-8b,pond,nfix,NTP,0.8238916256157636,0.43407864302235927,0.3644012944983819,0.3961998592540464,0.7756868289644605,0.09753335762897468,0.05652173913043478,0.43407864302235927
real,llama-3.1-8b,pond,nfix,Probe,0.4985632183908046,0.22456718878812862,0.8815533980582524,0.35795006570302235,0.7377566369882504,0.40858060971894383,0.16956521739130434,0.22456718878812862
real,llama-3.1-8b,nfix,pond,NTP,0.7366881217086015,0.638148667601683,0.6301939058171745,0.6341463414634146,0.7987057064099116,0.07685817187879408,0.2583258325832583,0.638148667601683
real,llama-3.1-8b,nfix,pond,Probe,0.6846944746301095,0.6310861423220974,0.31117266851338876,0.41682127396413116,0.6942363927668803,0.06964378110596903,0.1698169816981698,0.6310861423220974
real,llama-3.1-8b,nfix,nfix,NTP,0.7958439664600802,0.38917975567190227,0.5150115473441108,0.4433399602385686,0.7968557231836678,0.1810853757117296,0.11403508771929824,0.38917975567190227
real,llama-3.1-8b,nfix,nfix,Probe,0.8319358366751731,0.37155963302752293,0.09353348729792148,0.14944649446494462,0.6678806374533858,0.03725018595397374,0.013157894736842105,0.37155963302752293
real,qwen-2.5-7b,pond,pond,NTP,0.7844958621854417,0.8172817281728173,0.45835436648157496,0.5873221216041397,0.8462256282398521,0.011810150941810708,0.2051948051948052,0.8172817281728173
real,qwen-2.5-7b,pond,pond,Probe,0.6676237122107752,0.5022406066873492,0.7354871277132762,0.596886521917247,0.7404679480444937,0.15422798187235767,0.3051948051948052,0.5022406066873492
real,qwen-2.5-7b,pond,nfix,NTP,0.8452380952380952,0.513816280806572,0.4453074433656958,0.4771151178918169,0.8255165698240097,0.13702369800864947,0.08152173913043478,0.513816280806572
real,qwen-2.5-7b,pond,nfix,Probe,0.7882799671592775,0.3633966244725738,0.4459546925566343,0.40046498111014234,0.7590268921421074,0.10170595919088425,0.10217391304347827,0.3633966244725738
