Dataset type,Judge model,Train dataset,Test dataset,Type,Accuracy,Precision,Recall,F1,AUROC,ECE,ECE_lo,ECE_hi,ECE_em,ECE_em_lo,ECE_em_hi,RMSCE_db,RMSCE_db_lo,RMSCE_db_hi,SmECE,SmECE_lo,SmECE_hi,Recovery,Validity
syn,qwen-2.5-7b,pond,nfix+supermat,Probe,0.7383720930232558,0.6791958041958042,0.9034883720930232,0.7754491017964071,0.8496153326122229,0.15136347767668784,0.13375841620654746,0.17198118460003198,0.1532821691599221,0.134199322236567,0.17312816867763356,0.1761197715110323,0.15528949875306594,0.20047772150812807,0.14130041188344958,0.12575293543505883,0.15684788833184032,0.9034883720930232,0.6791958041958042
syn,qwen-2.5-7b,nfix,nfix,NTP,0.7246575342465753,0.8388429752066116,0.5561643835616439,0.6688632619439869,0.8019853631075249,0.05406658356607336,0.03285989934246461,0.08481252649449082,0.11431987716398567,0.09050169858606709,0.14730216927314269,0.12686558452493563,0.10562815062774993,0.16334830208443515,0.04766861170863898,0.024753791319527707,0.07058343209775025,0.5561643835616439,0.8388429752066116
syn,qwen-2.5-7b,nfix,nfix,Probe,0.7328767123287672,0.8079710144927537,0.6109589041095891,0.6957878315132605,0.8096528429348845,0.10135857877668523,0.08166010344955822,0.13430406625601807,0.09691597315883574,0.07661012784515163,0.13079606411229255,0.10824278263852365,0.08378882968182214,0.15396292131718337,0.09692444496220838,0.06801022866392997,0.1258386612604868,0.6109589041095891,0.8079710144927537
syn,qwen-2.5-7b,nfix,pond+supermat,NTP,0.7631449631449632,0.9503784693019344,0.5552825552825553,0.7009925558312655,0.9139772651811964,0.051594156636847584,0.038307311671673276,0.06363354470772639,0.1837320001479752,0.17381987760712564,0.19701935173934104,0.21553681517123188,0.20457368031240805,0.22919566338716132,0.04972536456562981,0.043022245502037565,0.05642848362922205,0.5552825552825553,0.9503784693019344
syn,qwen-2.5-7b,nfix,pond+supermat,Probe,0.7987714987714988,0.7582837723024639,0.8771498771498771,0.8133971291866028,0.8904902534877964,0.05804033088239068,0.0492017253582036,0.07052892528913264,0.05801969878374918,0.050639108820254436,0.07061454004323174,0.07699811179964333,0.06617931504107308,0.09336973736193477,0.05364296404450772,0.04399201734488682,0.06329391074412861,0.8771498771498771,0.7582837723024639
syn,qwen-2.5-7b,supermat,supermat,NTP,0.7656565656565657,0.9962264150943396,0.5333333333333333,0.6947368421052631,0.9271298847056422,0.02850733764632689,0.012901124022526595,0.05297352127201816,0.1878236391258113,0.16088680710673564,0.20723275077670578,0.23113081639995997,0.20975528727982315,0.2584394015042537,0.030654350442991665,0.014050820280064442,0.04725788060591889,0.5333333333333333,0.9962264150943396
syn,qwen-2.5-7b,supermat,supermat,Probe,0.9272727272727272,0.9106796116504854,0.9474747474747475,0.9287128712871285,0.9753433323130293,0.04820433295678052,0.04162810616601015,0.06522093608771426,0.04447936831733505,0.030061651698818886,0.05979045855900211,0.060180186232330776,0.028440279448546265,0.08677088224535054,0.04488664550510961,0.03336708738296148,0.05640620362725774,0.9474747474747475,0.9106796116504854
syn,qwen-2.5-7b,supermat,pond+nfix,NTP,0.7837270341207349,0.8902527075812274,0.647244094488189,0.7495440729483283,0.8941205971300832,0.0750231844729484,0.06371509734887226,0.08819217628445432,0.14643290287321264,0.13315292854698058,0.15871742765524466,0.17321611488620337,0.1628885456791556,0.18471165831176534,0.0674326589546692,0.058234176290700476,0.07663114161863792,0.647244094488189,0.8902527075812274
syn,qwen-2.5-7b,supermat,pond+nfix,Probe,0.6955380577427821,0.6329882184933953,0.9307086614173228,0.7535061623459414,0.822640516392144,0.1596201246953342,0.14608289554893075,0.17342352504617434,0.15962012469533418,0.14575092008275983,0.17318958569126788,0.17626818180611767,0.16253933986250568,0.1927464020728525,0.15937497151253316,0.1480619078893633,0.17068803513570302,0.9307086614173228,0.6329882184933953
real,qwen-2.5-7b,pond,pond,NTP,0.7216742843396681,0.8004854368932038,0.688517745302714,0.7402918069584736,0.8162918632508607,0.08262611458605135,0.07079260802704225,0.09584689418718564,0.12589105611495857,0.11544819263979769,0.14074504830725165,0.14997568328535066,0.13893092847499205,0.16463601889600477,0.07408303083516009,0.06571570567593304,0.08245035599438713,0.5201298701298701,0.8004854368932038
real,qwen-2.5-7b,pond,pond,Probe,0.7060380081789752,0.8,0.653027139874739,0.719080459770115,0.7975900416825632,0.12474546582622373,0.11154408424102254,0.13765000795866625,0.1233943627094562,0.11144607616052564,0.13728418701755643,0.14704106806515052,0.13377585035062037,0.16309506029938506,0.11797740260687152,0.10581730503756284,0.1301375001761802,0.4636363636363636,0.8
real,qwen-2.5-7b,pond,nfix+supermat,NTP,0.7012559192917439,0.7062863180137348,0.5990143369175627,0.6482424242424242,0.7938193377709507,0.13208253792796387,0.12342328145206356,0.14184180194906054,0.18141368572908653,0.1731995731673185,0.19206512961367067,0.20633864584789466,0.19975461159720392,0.21728577669438245,0.12005450641566265,0.11088177020243972,0.12922724262888557,0.4031639501438159,0.7062863180137348
real,qwen-2.5-7b,pond,nfix+supermat,Probe,0.6647107267860819,0.5856635911994322,0.9242831541218638,0.7170040837605353,0.7565797491039428,0.20115501724866863,0.19275148465563216,0.2105157461513076,0.20115501724866863,0.1921262139314384,0.21006864531029876,0.2182869470020879,0.20901342655758268,0.228438358329416,0.20121821252501165,0.19104563707050237,0.21139078797952093,0.4942473633748802,0.5856635911994322
real,qwen-2.5-7b,nfix,nfix,NTP,0.7075829383886256,0.6602475928473177,0.5647058823529412,0.6087507926442612,0.7813230625583567,0.11157876177867757,0.09387209368528592,0.1316160551619058,0.1387757977953178,0.12400768364444813,0.15824139668043857,0.16585518230353435,0.15257003300937136,0.18591932418298757,0.11010077759324446,0.09065258891052866,0.12954896627596027,0.266304347826087,0.6602475928473177
real,qwen-2.5-7b,nfix,nfix,Probe,0.680568720379147,0.5794223826714802,0.7552941176470588,0.6557711950970379,0.7470373482726423,0.12721052376211806,0.11051885873052344,0.14787841627724402,0.12366748470972218,0.10847798385767793,0.14605010189223325,0.14948616631786654,0.13134805780451903,0.1740911998123142,0.12019531548114709,0.1032571087535411,0.13713352220875308,0.26902173913043476,0.5794223826714802
