Split,Judge model,Train dataset,Test dataset,Type,Accuracy,Precision,Recall,F1,AUROC,ECE,ECE_lo,ECE_hi,ECE_se,ECE_em,ECE_em_lo,ECE_em_hi,ECE_em_se,RMSCE_db,RMSCE_db_lo,RMSCE_db_hi,RMSCE_db_se,Brier,BSS,Validity,N,N_pos
test_docs,llama-3.1-8b,pond,pond,NTP,0.8,0.9333333333333333,0.7,0.8,0.8466666666666667,0.14274728831846553,0.11493102079888001,0.2934757431280247,0.045915829572057795,0.16311794559166418,0.1577199453592214,0.3431006712207023,0.04664983382906908,0.0,0.0,0.37451037121598163,0.08743233922345216,0.16524702588360032,0.3252413109752986,0.9333333333333333,35,20
test_docs,llama-3.1-8b,pond,pond,Probe,0.8571428571428571,0.8260869565217391,0.95,0.8837209302325583,0.86,0.19599878723830452,0.13742994897946184,0.3192020554972562,0.04617904523611909,0.15666858107311932,0.1361620924452553,0.31601326840418786,0.04618381361750915,0.0,0.0,0.3645376614494861,0.08902576741759129,0.15032312285357696,0.3861805816812274,0.8260869565217391,35,20
test_docs,llama-3.1-8b,pond,nfix,NTP,0.55,0.6666666666666666,0.23529411764705882,0.3478260869565218,0.7164865946378551,0.2748219866799152,0.19978711056190548,0.3751388605976784,0.04392538435537018,0.26115589490401986,0.18830643868312924,0.3576755257374899,0.04262898147512154,0.25894596264752123,0.18888979857113974,0.39410407522490737,0.05137293208261793,0.28689802972899875,-0.14805133945177573,0.6666666666666666,100,51
test_docs,llama-3.1-8b,pond,nfix,Probe,0.56,0.547945205479452,0.7843137254901961,0.6451612903225806,0.6354541816726691,0.20078602537634702,0.1430441611543493,0.3028810620318532,0.04187081289985452,0.16604691817922132,0.14043735019862652,0.2955193193676203,0.04033294748075801,0.18596589841363895,0.10060754563068823,0.3356244465987129,0.05998860887475568,0.2642809485496147,-0.05754681292362829,0.547945205479452,100,51
test_docs,llama-3.1-8b,nfix,pond,NTP,0.68,0.7446808510638298,0.6363636363636364,0.6862745098039216,0.7321212121212121,0.08366211473526748,0.06606453262259664,0.19632821973813716,0.032763193565239254,0.12629564405171434,0.0907084797190312,0.23179334461222662,0.03646228056311782,0.021494094171573084,0.0,0.2491853634965269,0.06961084162515853,0.2118788858758055,0.1439236934310889,0.7446808510638298,100,55
test_docs,llama-3.1-8b,nfix,pond,Probe,0.58,0.6511627906976745,0.509090909090909,0.5714285714285714,0.6565656565656566,0.14720767217686312,0.10046468652805007,0.24275986564876118,0.037180298738432246,0.1424345131308435,0.12398823768598545,0.2740490123280543,0.0390631942342189,0.0845795845777995,0.02937432917783277,0.2867898837729093,0.06264086897425009,0.23938208763784616,0.03279964590769224,0.6511627906976745,100,55
test_docs,llama-3.1-8b,nfix,nfix,NTP,0.5882352941176471,0.8,0.32432432432432434,0.46153846153846156,0.7593722755013077,0.2073321682607162,0.13806358032457855,0.3250332247674078,0.048831669458431856,0.2368956817477951,0.1607584047580395,0.34344022476494895,0.04693055888487969,0.20085187388501316,0.11059511647856897,0.369587180735962,0.0671979685429187,0.24783483805200265,0.000882047818256182,0.8,68,37
test_docs,llama-3.1-8b,nfix,nfix,Probe,0.5294117647058824,1.0,0.13513513513513514,0.2380952380952381,0.5710549258936356,0.2577764079957096,0.1968388628585229,0.3915995652431576,0.05087455506620909,0.28985140332934717,0.20653581152400366,0.403332617235347,0.05070752767041779,0.30491733747500477,0.18366212407732732,0.4387491932825654,0.06580862134935371,0.309991742661817,-0.2496964412103242,1.0,68,37
test_docs,mistral-7b,pond,pond,NTP,0.42857142857142855,,0.0,,0.7466666666666667,0.27301868480142016,0.11911491103012468,0.41405291656552473,0.0754239512827088,0.29458907202310974,0.23251756450224903,0.45499893921844886,0.05569499029973816,0.2417886112739568,0.19228285340302875,0.47971676261897506,0.07416379702304092,0.2660033274195997,-0.08618025363003223,0.0,35,20
test_docs,mistral-7b,pond,pond,Probe,0.4857142857142857,0.5714285714285714,0.4,0.47058823529411764,0.5966666666666667,0.19923425896136693,0.13982447349835558,0.3871305675453079,0.06261138640121029,0.21449709113666715,0.1959221850386115,0.4260675797752985,0.05884804245117401,0.0,0.0,0.44529680116593756,0.09927484534971825,0.27025317681069816,-0.10353380531035095,0.5714285714285714,35,20
test_docs,mistral-7b,pond,nfix,NTP,0.49,,0.0,,0.5966386554621849,0.20155086547557305,0.11623975517550938,0.2992118881675424,0.04607618938273467,0.19762802804674295,0.16745091802130396,0.32463957493968015,0.04114182031167652,0.17831353971517538,0.13368101785390715,0.3519463117890079,0.05573035450560952,0.28836207007781606,-0.1539098442489637,0.0,100,51
