dataset,model,baseline_recovery,baseline_hallucination,ablation_1_recovery,ablation_1_hallucination,ablation_2_recovery,ablation_2_hallucination,ablation_3_recovery,ablation_3_hallucination,ablation_4_recovery,ablation_4_hallucination,ablation_5_recovery,ablation_5_hallucination,ablation_6_recovery,ablation_6_hallucination
nfix,llama-3.1-8b,0.18695652173913044,0.8414408866995073,0.035869565217391305,0.9835491774588729,0.31630434782608696,0.9685463042676178,0.19021739130434784,0.9522722556547002,0.1358695652173913,0.9325842696629214,0.1858695652173913,0.9350048423544604,0.14130434782608695,0.9586889723455104
nfix,gemma-3-27b,0.4282608695652174,0.6141975308641976,0.175,0.8870716510903427,0.4315217391304348,0.8888763665051279,0.28369565217391307,0.8094395280235989,0.2728260869565217,0.8157267672756155,0.483695652173913,0.8295362082994304,0.3641304347826087,0.8418891170431211
nfix,gpt-oss-120b,0.5978260869565217,0.2230848861283644,0.21304347826086956,0.8344594594594594,0.4923913043478261,0.6724537037037037,0.4782608695652174,0.6220839813374806,0.38804347826086955,0.5981772990886496,0.45,0.65625,0.3673913043478261,0.6311827956989247
