dataset,ecosystem,attribute,setting,unit,n,n_eff,sum_w,mean,std,q1,median,q3,whisker_lo,whisker_hi,n_outliers,w_outliers,quantiles_clamped
pond,pond,ph,judge_filtered,,157,157.0,157.0,7.260573248407642,1.3375073649632914,6.795,7.66,8.2625,4.7,9.85,10,10.0,False
pond,pond,ph,ntp_weighted,,303,206.83173607368303,129.0474729212587,6.944812978675516,1.8175258947472825,6.45,7.607101202143183,8.1,4.0,9.85,35,10.341940912866026,False
pond,pond,ph,probe_weighted,,303,242.31976568015824,181.27708473668824,6.571003554522836,2.060513802887453,5.850568545829136,7.552479558675934,8.0,3.0,9.85,26,11.671604677346537,False
pond,pond,tn,ground_truth,µg/L,50,50.0,50.0,1083.772,860.6854361590689,670.0,908.3499999999999,1200.0,291.9,1700.0000000000002,5,5.0,False
pond,pond,tn,extracted,µg/L,88,88.0,88.0,14860.68852840909,51030.62887455428,367.6,717.5,1605.0,0.4205,2610.0,16,16.0,False
pond,pond,tn,judge_filtered,µg/L,33,33.0,33.0,13576.233333333334,27805.716251908827,718.75,1240.0,2160.0,276.2,2610.0,6,6.0,False
pond,pond,tn,ntp_weighted,µg/L,88,58.30894784260436,25.198122188569986,12766.928034738454,46060.46521849592,420.5,733.0826761656524,1790.184635031388,0.4205,2610.0,16,3.6797242582842484,False
pond,pond,tn,probe_weighted,µg/L,88,46.05826557319282,25.297511901552415,24545.74730894998,49880.90172373714,695.6645656448482,1330.0,42891.33546568086,0.4205,88000.0,2,0.8567414237824642,False
pond,pond,tp,ground_truth,µg/L,42,42.0,42.0,109.13095238095238,268.8134691820798,8.7,15.200000000000001,43.0,3.7,91.0,7,7.0,False
pond,pond,tp,extracted,µg/L,141,141.0,141.0,4592.2980709219855,28574.03090700999,10.925,30.21,150.5,0.159,350.0,19,19.0,False
pond,pond,tp,judge_filtered,µg/L,67,67.0,67.0,162.15629850746265,307.766589310058,10.775,30.21,169.0,0.342,350.0,7,7.0,False
pond,pond,tp,ntp_weighted,µg/L,141,97.72326509014029,42.47077503645278,3252.7009039714853,23839.542305550574,10.915119962377945,30.21,169.0,0.159,350.0,19,7.351789891832411,False
pond,pond,tp,probe_weighted,µg/L,141,110.64186072942225,69.53743499555041,596.1685134631609,10270.75265056451,8.405890846611817,17.629069249844076,69.0,0.159,159.0,33,11.876323741171651,False
pond,pond,chla,ground_truth,µg/L,41,41.0,41.0,0.8097560975609757,0.7841571519946688,0.0,0.8,1.2249999999999999,0.0,2.9,0,0.0,False
pond,pond,chla,extracted,µg/L,88,88.0,88.0,5749.214772727273,28707.21225506816,0.8,4.049999999999997,151.3,0.0,376.0,16,16.0,False
pond,pond,chla,judge_filtered,µg/L,45,45.0,45.0,30.853333333333335,68.75836345823355,0.8,1.5,24.974999999999994,0.2,32.4,7,7.0,False
pond,pond,chla,ntp_weighted,µg/L,88,58.831258481984136,35.797062466318806,2951.610220500432,20767.127746056733,0.8,3.9730319550957693,94.6453742060965,0.0,235.0,19,3.9472933971210242,False
pond,pond,chla,probe_weighted,µg/L,88,73.47386434340186,47.55434844970406,876.2136016326272,10618.314395979743,0.8,2.6622636524335874,32.5168543787815,0.0,32.65,28,11.282249870996893,False
pond,lake,surface_area,ground_truth,m^2,197,197.0,197.0,47392.395939086295,50378.41161765565,6045.750000000001,28000.0,83750.00000000001,81.0,177000.0,0,0.0,False
pond,lake,surface_area,extracted,m^2,489,489.0,489.0,511336805.15337425,5473605804.877167,23000.0,100000.0,561000.0,10.0,1270000.0,87,87.0,False
pond,lake,surface_area,judge_filtered,m^2,372,372.0,372.0,605989830.9892473,6250465138.856532,20000.0,94500.0,630000.0,81.0,1480000.0,69,69.0,False
pond,lake,surface_area,ntp_weighted,m^2,489,407.53050627118375,319.5423822353655,454819003.0322145,5053078822.771852,20000.0,97633.49777486766,561000.0,10.0,1270000.0,87,58.49198142875359,False
pond,lake,surface_area,probe_weighted,m^2,489,466.2593262787873,408.48163059916646,541864350.1588979,5769755339.05678,22881.486827846777,95000.0,500000.0,10.0,1200000.0,89,68.6200266634982,False
pond,lake,max_depth,ground_truth,m,99,99.0,99.0,4.0206060606060605,2.477844198863287,1.8,4.3,5.675000000000001,0.09,9.0,0,0.0,False
pond,lake,max_depth,extracted,m,360,360.0,360.0,27.828750000000007,107.65545045486213,1.9,5.0,12.0,0.1,23.0,42,42.0,False
pond,lake,max_depth,judge_filtered,m,170,170.0,170.0,47.931823529411766,152.78062301110367,3.7,6.0,13.0,0.65,23.0,26,26.0,False
pond,lake,max_depth,ntp_weighted,m,360,272.15335959282,189.3917592813088,33.13945068667587,127.94040370688228,2.5,5.5,12.179629346094828,0.1,23.0,42,22.481751329679863,False
pond,lake,max_depth,probe_weighted,m,360,329.566754087197,272.52194674260403,26.80444188209444,99.78655207487165,2.0,5.234774569185448,12.8,0.1,29.0,40,30.746322497125306,False
pond,lake,vegetation_cover,ground_truth,percent,33,33.0,33.0,47.9030303030303,35.57032194161732,15.5,52.5,79.25,0.0,100.0,0,0.0,False
pond,lake,vegetation_cover,extracted,percent,54,54.0,54.0,58.25,94.49237515410516,14.0,42.5,76.0,0.0,100.0,1,1.0,False
pond,lake,vegetation_cover,judge_filtered,percent,47,47.0,47.0,44.361702127659576,35.52688848936014,7.750000000000002,42.0,74.5,0.0,100.0,0,0.0,False
pond,lake,vegetation_cover,ntp_weighted,percent,54,35.519102940174186,21.182900693467996,53.0637017457616,71.90725996995337,21.561765388610144,42.5,72.31793606507865,0.0,100.0,1,0.20749935416717752,False
pond,lake,vegetation_cover,probe_weighted,percent,54,51.70694088682552,41.38852700984885,50.06747267714625,57.45639652948807,13.794087621848323,42.5,76.51701433749892,0.0,100.0,1,0.2036018072178368,False
pond,lake,ph,ground_truth,,73,73.0,73.0,7.52123287671233,1.0896902531421477,7.2675,7.8,8.125,6.2,9.2,8,8.0,False
pond,lake,ph,extracted,,184,184.0,184.0,7.195923913043478,1.3883623307307984,6.56,7.6,8.1,4.4,9.92,3,3.0,False
pond,lake,ph,judge_filtered,,147,147.0,147.0,7.2121768707483,1.3577174222346327,6.56,7.5,8.1,4.4,9.92,2,2.0,False
pond,lake,ph,ntp_weighted,,184,147.67599499689427,109.24412654205746,7.2495446557110155,1.250438940366825,6.670783041524467,7.591659561364851,8.1,4.7,9.92,13,5.6162687815487455,False
pond,lake,ph,probe_weighted,,184,164.27916333935042,127.47456467227973,7.215348260872402,1.276707666263485,6.623339831306923,7.5,8.0,4.7,9.92,13,7.657753333378607,False
pond,lake,tn,ground_truth,µg/L,61,61.0,61.0,903.944262295082,622.9605556064766,467.42499999999995,794.0,1014.5,247.6,1700.0000000000002,4,4.0,False
