Dataset type,Judge model,Train dataset,Test dataset,Type,Accuracy,Precision,Recall,F1,AUROC,ECE,ECE_lo,ECE_hi,ECE_em,ECE_em_lo,ECE_em_hi,RMSCE_db,RMSCE_db_lo,RMSCE_db_hi,SmECE,SmECE_lo,SmECE_hi,Recovery,Validity
syn,qwen-2.5-7b,pond,pond,NTP,0.7899350649350649,0.9297401347449471,0.6272727272727273,0.749127568825126,0.917574211502783,0.08432786353331354,0.07076728345495611,0.09806727931035163,0.16673008827902042,0.1544255204819587,0.17943885541054252,0.20532241770982382,0.1942841065187013,0.218648359044332,0.06852479338589863,0.059425571784920056,0.07762401498687721,0.6272727272727273,0.9297401347449471
syn,qwen-2.5-7b,pond,pond,Probe,0.8775974025974026,0.9080701754385965,0.8402597402597403,0.8728499156829679,0.9579309327036601,0.057109602413999004,0.04873166781290059,0.06800634998888798,0.05798468815159456,0.04886475116619166,0.06871328432854115,0.06929349893986886,0.05611031300468712,0.08569321888986249,0.05677815099879419,0.04788914287629527,0.06566715912129312,0.8402597402597403,0.9080701754385965
syn,qwen-2.5-7b,pond,nfix+supermat,NTP,0.7441860465116279,0.8790613718411552,0.5662790697674419,0.6888260254596889,0.8542671714440238,0.057638160093923085,0.03996175388693523,0.078183559331714,0.14041352210334607,0.12316174990452113,0.16117896929636716,0.1626127436003439,0.14282344343835193,0.18312316080033383,0.049560694982538185,0.03479120522652514,0.06433018473855123,0.5662790697674419,0.8790613718411552
syn,qwen-2.5-7b,pond,nfix+supermat,Probe,0.7383720930232558,0.6791958041958042,0.9034883720930232,0.7754491017964071,0.8496153326122229,0.15136347767668784,0.13375841620654746,0.17198118460003198,0.1532821691599221,0.134199322236567,0.17312816867763356,0.1761197715110323,0.15528949875306594,0.20047772150812807,0.14130041188344958,0.12575293543505883,0.15684788833184032,0.9034883720930232,0.6791958041958042
syn,qwen-2.5-7b,nfix,nfix,NTP,0.7246575342465753,0.8388429752066116,0.5561643835616439,0.6688632619439869,0.8019853631075249,0.05406658356607336,0.03285989934246461,0.08481252649449082,0.11431987716398567,0.09050169858606709,0.14730216927314269,0.12686558452493563,0.10562815062774993,0.16334830208443515,0.04766861170863898,0.024753791319527707,0.07058343209775025,0.5561643835616439,0.8388429752066116
syn,qwen-2.5-7b,nfix,nfix,Probe,0.7328767123287672,0.8079710144927537,0.6109589041095891,0.6957878315132605,0.8096528429348845,0.10135857877668523,0.08166010344955822,0.13430406625601807,0.09691597315883574,0.07661012784515163,0.13079606411229255,0.10824278263852365,0.08378882968182214,0.15396292131718337,0.09692444496220838,0.06801022866392997,0.1258386612604868,0.6109589041095891,0.8079710144927537
syn,qwen-2.5-7b,nfix,pond+supermat,NTP,0.7631449631449632,0.9503784693019344,0.5552825552825553,0.7009925558312655,0.9139772651811964,0.051594156636847584,0.038307311671673276,0.06363354470772639,0.1837320001479752,0.17381987760712564,0.19701935173934104,0.21553681517123188,0.20457368031240805,0.22919566338716132,0.04972536456562981,0.043022245502037565,0.05642848362922205,0.5552825552825553,0.9503784693019344
syn,qwen-2.5-7b,nfix,pond+supermat,Probe,0.7987714987714988,0.7582837723024639,0.8771498771498771,0.8133971291866028,0.8904902534877964,0.05804033088239068,0.0492017253582036,0.07052892528913264,0.05801969878374918,0.050639108820254436,0.07061454004323174,0.07699811179964333,0.06617931504107308,0.09336973736193477,0.05364296404450772,0.04399201734488682,0.06329391074412861,0.8771498771498771,0.7582837723024639
syn,qwen-2.5-7b,supermat,supermat,NTP,0.7656565656565657,0.9962264150943396,0.5333333333333333,0.6947368421052631,0.9271298847056422,0.02850733764632689,0.012901124022526595,0.05297352127201816,0.1878236391258113,0.16088680710673564,0.20723275077670578,0.23113081639995997,0.20975528727982315,0.2584394015042537,0.030654350442991665,0.014050820280064442,0.04725788060591889,0.5333333333333333,0.9962264150943396
syn,qwen-2.5-7b,supermat,supermat,Probe,0.9272727272727272,0.9106796116504854,0.9474747474747475,0.9287128712871285,0.9753433323130293,0.04820433295678052,0.04162810616601015,0.06522093608771426,0.04447936831733505,0.030061651698818886,0.05979045855900211,0.060180186232330776,0.028440279448546265,0.08677088224535054,0.04488664550510961,0.03336708738296148,0.05640620362725774,0.9474747474747475,0.9106796116504854
syn,qwen-2.5-7b,supermat,pond+nfix,NTP,0.7837270341207349,0.8902527075812274,0.647244094488189,0.7495440729483283,0.8941205971300832,0.0750231844729484,0.06371509734887226,0.08819217628445432,0.14643290287321264,0.13315292854698058,0.15871742765524466,0.17321611488620337,0.1628885456791556,0.18471165831176534,0.0674326589546692,0.058234176290700476,0.07663114161863792,0.647244094488189,0.8902527075812274
