,Test setting,Type,Accuracy,Precision,Recall,F1,AUROC,ECE
0,Syn. pond,NTP,0.7365800865800866,0.5907813378302417,0.6824675324675324,0.6333232901476348,0.8095394459436667,0.11813451322011748
1,Syn. pond,Probe,0.6703463203463204,0.5042016806722689,0.6623376623376623,0.5725512208812797,0.7173375569235958,0.13239385564814593
2,Syn. nfix,NTP,0.6844840386043058,0.5555555555555556,0.267260579064588,0.3609022556390978,0.655935486431119,0.07811996295584996
3,Syn. nfix,Probe,0.6481069042316259,0.46200607902735563,0.33853006681514475,0.39074550128534696,0.6512628905610587,0.07106021725221241
4,Real pond,NTP,0.7076365101752972,0.9478079331941545,0.713515940727436,0.8141411553733828,0.7611921206341533,0.24834742432032883
5,Real pond,Probe,0.8045536973604674,0.9311881188118812,0.8446340368208352,0.8858017424064045,0.7226638071956687,0.220173950383417
6,Real nfix,NTP,0.6009019165727171,0.9426048565121413,0.5655629139072847,0.706953642384106,0.8041741922536625,0.32392157223849555
7,Real nfix,Probe,0.4904171364148816,0.954954954954955,0.42119205298013246,0.5845588235294117,0.7785871964679911,0.4487656368592594
