dataset,model,resolved_date,recovery,recovery_ci_lo,recovery_ci_hi,validity,validity_ci_lo,validity_ci_hi,f1,has_judge
nfix,llama-3.1-8b,2026_05_05,0.18695652173913044,0.16308387060593554,0.21343252785135186,0.1585591133004926,0.151441364784588,0.1659459739293708,0.1715908474550005,True
nfix,gemma-3-27b,2026_05_06,0.4282608695652174,0.39664956036673715,0.4604687809463913,0.38580246913580246,0.37338826371835176,0.3983670162358828,0.4059244362389556,True
nfix,gpt-oss-120b,2026_05_03,0.5978260869565217,0.5657980154606342,0.6290406100214635,0.7769151138716356,0.757812116842983,0.794919097340145,0.6757055395495023,True
nfix,nuextract-2.0-8b,2026_07_11,0.041304347826086954,0.030238887954109103,0.0561844458964995,0.055931161647203444,0.04577575547054691,0.06817858252812106,0.04751762329435367,False
nfix,chatextract-gemma-3-27b,2026_07_11,0.016304347826086956,0.009905177126932691,0.026726063544917616,0.01221264367816092,0.007638843736517544,0.01947129730533493,0.013964950711938663,False
nfix,gliner-large-v1,2026_07_11,0.002173913043478261,0.0005963679427740858,0.00789151571499544,0.0020181634712411706,0.0009252604523664982,0.004396305724345473,0.0020931449502878076,False
