dataset,model,resolved_date,recovery,recovery_ci_lo,recovery_ci_hi,validity,validity_ci_lo,validity_ci_hi,f1,has_judge
pond,llama-3.1-8b,2026_05_04,0.3582358235823582,0.3421295190062196,0.37466853338492345,0.362116525955028,0.3535496822836783,0.37077189318364573,0.36016572165438393,True
pond,gemma-3-27b,2026_05_05,0.7113711371137114,0.6957514710648651,0.7265041312429439,0.5277143639850242,0.5183560342626437,0.537053256897043,0.6059319826539592,True
pond,gpt-oss-120b,2026_05_02,0.7572757275727573,0.7424298487041108,0.7715292414008519,0.8974410638726577,0.8886908902130709,0.9055764591089032,0.8214219352958743,True
pond,nuextract-2.0-8b,2026_07_11,0.35973597359735976,0.3436129974275529,0.3761819009700331,0.3736473583704647,0.36176687604081115,0.38568222705762556,0.3665597250071613,True
pond,chatextract-gemma-3-27b,2026_07_11,0.17311731173117312,0.16065084812575103,0.1863364070703344,0.3605248146035368,0.344791860363289,0.3765630750449309,0.2339136422576851,True
pond,gliner-large-v1,2026_07_11,0.043204320432043204,0.03681169929470138,0.05064869174342625,0.03854606931530009,0.03522414918279455,0.04216758046033376,0.040742478054010586,True
