,Test setting,Type,Accuracy,Precision,Recall,F1,AUROC,ECE
0,Syn. pond,NTP,0.754978354978355,0.6513353115727003,0.5701298701298702,0.6080332409972299,0.8095394459436667,0.04948967289989649
1,Syn. pond,Probe,0.7781385281385281,0.6647472808701216,0.6746753246753247,0.6696745085401226,0.8563394965424187,0.04359743177003502
2,Syn. nfix,NTP,0.682256867112101,0.5813953488372093,0.16703786191536749,0.25951557093425603,0.655935486431119,0.13597492887341547
3,Syn. nfix,Probe,0.6592427616926503,0.47844827586206895,0.24721603563474387,0.32599118942731276,0.6678501098704868,0.11625305209514132
4,Real pond,NTP,0.76558013849012,0.7051903114186852,0.5143866733972741,0.5948628137769993,0.819972479673651,0.030994355507370102
5,Real pond,Probe,0.5882452288464787,0.4396620015843676,0.8404846037354872,0.5773231622746187,0.7212597083460387,0.26116106970528796
6,Real nfix,NTP,0.8238916256157636,0.43407864302235927,0.3644012944983819,0.3961998592540464,0.7756868289644605,0.09753335762897468
7,Real nfix,Probe,0.6133004926108374,0.2652587117212249,0.8129449838187702,0.3999999999999999,0.7692445720154523,0.3215098489667936
