,Test setting,Type,Accuracy,Precision,Recall,F1,AUROC,ECE
0,Syn. pond,NTP,0.754978354978355,0.6513353115727003,0.5701298701298702,0.6080332409972299,0.8095394459436667,0.04948967289989649
1,Syn. pond,Probe,0.8244588744588744,0.7647058823529411,0.6837662337662338,0.7219746314706891,0.8974696407488616,0.04785980912530117
2,Syn. nfix,NTP,0.682256867112101,0.5813953488372093,0.16703786191536749,0.25951557093425603,0.655935486431119,0.13597492887341547
3,Syn. nfix,Probe,0.6666666666666666,0.5,0.29398663697104677,0.3702664796633941,0.6500277776399919,0.07921927603123574
4,Real pond,NTP,0.76558013849012,0.7051903114186852,0.5143866733972741,0.5948628137769993,0.819972479673651,0.030994355507370102
5,Real pond,Probe,0.5173112649890221,0.4012609772573745,0.8995456839979808,0.5549672999065712,0.7059243011656421,0.33404315432991244
6,Real nfix,NTP,0.8238916256157636,0.43407864302235927,0.3644012944983819,0.3961998592540464,0.7756868289644605,0.09753335762897468
7,Real nfix,Probe,0.4985632183908046,0.22456718878812862,0.8815533980582524,0.35795006570302235,0.7377566369882504,0.40858060971894383
