,Test setting,Type,Accuracy,Precision,Recall,F1,AUROC,ECE
0,Syn. pond,NTP,0.7365800865800866,0.5907813378302417,0.6824675324675324,0.6333232901476348,0.8095394459436667,0.11813451322011748
1,Syn. pond,Probe,0.7367965367965368,0.6208955223880597,0.5402597402597402,0.5777777777777777,0.7801619160060719,0.05527715465094447
2,Syn. nfix,NTP,0.6844840386043058,0.5555555555555556,0.267260579064588,0.3609022556390978,0.655935486431119,0.07811996295584996
3,Syn. nfix,Probe,0.6926503340757239,0.6223776223776224,0.19821826280623608,0.30067567567567566,0.6822225584198491,0.0862096235061238
4,Real pond,NTP,0.7076365101752972,0.9478079331941545,0.713515940727436,0.8141411553733828,0.7611921206341533,0.24834742432032883
5,Real pond,Probe,0.37134797501511185,0.977110157367668,0.3066906151773687,0.46684894053315107,0.726133459427653,0.530518599431126
6,Real nfix,NTP,0.6009019165727171,0.9426048565121413,0.5655629139072847,0.706953642384106,0.8041741922536625,0.32392157223849555
7,Real nfix,Probe,0.18376550169109357,0.9696969696969697,0.0423841059602649,0.08121827411167512,0.7960766606461971,0.6720025559191887
